Humedal El Retiro;Comuna 22, zona sur de Cali;3.5;42;60;Regular
Humedal La Babilla - Zanjon del Burro;Barrio Ciudad Jardin, Av. San Joaquin con Cra 108;6.2;55;70;Bueno
Humedal Canasgordas;Frente a la Pontificia Universidad Javeriana, Comuna 22;4.0;85;95;Bueno
Humedal El Limonar;Calle 15 con Carrera 64, frente a Gratamira;2.8;30;45;Regular
Humedal Panamericano;Carrera 127 con Calle 16A, Av. El Banco, Pance;4.7;38;50;Regular
Ecoparque Lago de las Garzas;Comuna 22, Carrera 127 con Calle 16A;4.7;40;55;Bueno
Humedal Charco Azul - El Pondaje;Av. Ciudad de Cali, entre Villa del Lago y Charco Azul, oriente de Cali;5.0;35;40;Deteriorado
Humedal Isaias Duarte Cancino;Oriente de Cali, cerca al sector de Charco Azul;3.2;25;30;Deteriorado
Humedal Univalle;Sede Melendez, Universidad del Valle;2.5;33;48;Bueno
Humedal Batallon;Zona sur de Cali, cercano a instalaciones militares;1.8;20;25;Regular
Parque de la Cana;Comuna oriente de Cali;2.0;22;28;Regular
Reservorio Puerto Mallarino;Oriente de Cali, cercano al rio Cauca;3.6;28;35;Regular
Lago de la Babilla;Ciudad Jardin, Cali;5.5;48;65;Bueno
Humedal La Maria;Zona sur de Cali;2.2;18;24;Regular
